date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:09:38	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2015:09:41%20GMT	http://bestwebsoft.com/demo_theme/hotel-finder	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder.0.delayed	(from )
22:09:39	322/322	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2026%20Sep%202024%2015:09:43%20GMT	https://bestwebsoft.com/demo_theme/hotel-finder	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder.1.delayed	(from )
22:09:40	23767/23767	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2010:03:39%20GMT	https://bestwebsoft.com/demo_theme/hotel-finder/	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/index.html	(from )
22:09:41	239/239	---MCZ	200	added ('OK')	text/plain	etag:W/%22240-6005d64efcb89%22	https://bestwebsoft.com/robots.txt		(from )
22:09:42	117318/117318	---MCZ	200	added ('OK')	text/css	etag:W/%221ca46-55a00ac7e2000%22	https://bestwebsoft.com/demo_theme/hotel-finder/css/bootstrap.min.css	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/css/bootstrap.min.css	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:44	169831/169831	---MCZ	200	added ('OK')	text/css	etag:W/%2229767-55a00ac8d6240%22	https://bestwebsoft.com/demo_theme/hotel-finder/css/style.css	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/css/style.css	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:45	2064/2064	---MCZ	200	added ('OK')	text/css	etag:W/%22810-55a00ac6eddc0%22	https://bestwebsoft.com/demo_theme/hotel-finder/css/ie.css	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/css/ie.css	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:46	23817/23817	---MCZ	200	added ('OK')	text/css	etag:W/%225d09-55a00ac5f9b80%22	https://bestwebsoft.com/demo_theme/hotel-finder/css/font-awesome.min.css	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/css/font-awesome.min.css	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:46	1180/1180	---M-Z	200	added ('OK')	text/css	etag:%2249c-55a00ac9ca480-gzip%22	https://bestwebsoft.com/demo_theme/hotel-finder/css/owl.carousel.css	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/css/owl.carousel.css	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:47	28709/28709	---MCZ	200	added ('OK')	text/css	etag:W/%227025-55a00ac9ca480%22	https://bestwebsoft.com/demo_theme/hotel-finder/css/jquery-ui.css	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/css/jquery-ui.css	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:49	23767/23767	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2010:03:39%20GMT	https://bestwebsoft.com/demo_theme/hotel-finder/index.html	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/index-2.html	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:49	1481/1481	---M--	200	added ('OK')	image/png	etag:%225c9-55a00aefefe80%22	https://bestwebsoft.com/demo_theme/hotel-finder/images/logo.png	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/images/logo.png	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:50	115127/115127	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2010:03:37%20GMT	https://bestwebsoft.com/demo_theme/hotel-finder/elements.html	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/elements.html	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:51	23295/23295	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2010:03:35%20GMT	https://bestwebsoft.com/demo_theme/hotel-finder/blog-index.html	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/blog-index.html	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:51	13872/13872	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2010:03:35%20GMT	https://bestwebsoft.com/demo_theme/hotel-finder/about-us.html	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/about-us.html	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:52	26685/26685	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2010:03:41%20GMT	https://bestwebsoft.com/demo_theme/hotel-finder/user-page.html	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/user-page.html	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:52	28277/28277	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2010:03:40%20GMT	https://bestwebsoft.com/demo_theme/hotel-finder/search-result.html	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/search-result.html	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:53	27706/27706	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2010:03:40%20GMT	https://bestwebsoft.com/demo_theme/hotel-finder/search-result-v-2.html	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/search-result-v-2.html	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:53	27744/27744	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2010:03:40%20GMT	https://bestwebsoft.com/demo_theme/hotel-finder/search-result-v-3.html	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/search-result-v-3.html	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:54	31115/31115	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2010:03:37%20GMT	https://bestwebsoft.com/demo_theme/hotel-finder/hotel-page-v1.html	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/hotel-page-v1.html	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:54	31182/31182	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2010:03:37%20GMT	https://bestwebsoft.com/demo_theme/hotel-finder/hotel-page-v2.html	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/hotel-page-v2.html	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
22:09:54	31806/31806	---MCZ	200	added ('OK')	text/html	date:Mon,%2025%20Sep%202017%2010:03:38%20GMT	https://bestwebsoft.com/demo_theme/hotel-finder/hotel-page-v3.html	C:/My%20Web%20Sites/Hotel/bestwebsoft.com/demo_theme/hotel-finder/hotel-page-v3.html	(from https://bestwebsoft.com/demo_theme/hotel-finder/)
