date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:09:07	795/795	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2025%20Sep%202024%2009:09:09%20GMT	https://demoxml.com/html/hotelbooking	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking.0.delayed	(from )
16:09:07	59993/59993	---M-Z	200	added ('OK')	text/html	date:Tue,%2009%20Jun%202015%2006:04:50%20GMT	https://demoxml.com/html/hotelbooking/	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/index.html	(from )
16:09:08	108/108	---MCZ	200	added ('OK')	text/plain	etag:%22448-1727141337;gz%22	https://demoxml.com/robots.txt		(from )
16:09:08	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2021%20May%202015%2019:06:52%20GMT	https://demoxml.com/html/hotelbooking/img/favicon.ico	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/img/favicon.ico	(from https://demoxml.com/html/hotelbooking/)
16:09:08	28747/28747	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20May%202015%2008:12:36%20GMT	https://demoxml.com/html/hotelbooking/css/font-awesome.css	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/css/font-awesome.css	(from https://demoxml.com/html/hotelbooking/)
16:09:09	117309/117309	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Apr%202015%2020:16:00%20GMT	https://demoxml.com/html/hotelbooking/css/bootstrap.min.css	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/css/bootstrap.min.css	(from https://demoxml.com/html/hotelbooking/)
16:09:09	86218/86218	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Apr%202015%2019:42:50%20GMT	https://demoxml.com/html/hotelbooking/css/uikit.min.css	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/css/uikit.min.css	(from https://demoxml.com/html/hotelbooking/)
16:09:09	71089/71089	---M-Z	200	added ('OK')	text/css	date:Tue,%2026%20May%202015%2008:53:32%20GMT	https://demoxml.com/html/hotelbooking/css/animate.css	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/css/animate.css	(from https://demoxml.com/html/hotelbooking/)
16:09:09	2913/2913	---M-Z	200	added ('OK')	text/css	date:Wed,%2029%20Apr%202015%2016:36:56%20GMT	https://demoxml.com/html/hotelbooking/css/datepicker.css	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/css/datepicker.css	(from https://demoxml.com/html/hotelbooking/)
16:09:10	4828/4828	---M-Z	200	added ('OK')	text/css	date:Mon,%2027%20Apr%202015%2020:19:00%20GMT	https://demoxml.com/html/hotelbooking/css/owl.carousel.css	C:/My%20Web%20Sites/HotelBooking/demoxml.com/html/hotelbooking/css/owl.carousel.css	(from https://demoxml.com/html/hotelbooking/)
